METRO Cash & Carry,Mainz-Kastel,Boelckestraße 78  55252 Mainz-Kastel Germany,+49 (211) 17607090,+49 (211) 17607099,"50,0208 8,29033"
METRO Cash & Carry,Karlsruhe,Bannwaldallee 42  76185 Karlsruhe Germany,+49 (211) 17607090,+49 (211) 17607099,"48,998703 8,369111"
METRO Cash & Carry,Korntal-Münchingen,Motorstraße 16-18  70825 Korntal-Münchingen Germany,+49 (211) 17607090,+49 (211) 17607099,"48,8264 9,10996"
METRO Cash & Carry,Gundelfingen,Industriestr. 42  79194 Gundelfingen Germany,+49 (211) 17607090,+49 (211) 17607099,"48,04648 7,860487"
METRO Cash & Carry,Oldenburg,Gewerbegebiet Tweelbäke II  26135 Oldenburg Germany,+49 (211) 17607090,+49 (211) 17607099,"53,108984 8,267051"
METRO Cash & Carry,Mannheim,Floßwörthstraße 30  68199 Mannheim Germany,+49 (211) 17607090,+49 (211) 17607099,"49,4587 8,49985"
METRO Cash & Carry,Laatzen,Lüneburger Straße  30880 Laatzen Germany,+49 (211) 17607090,+49 (211) 17607099,"52,294 9,82378"
METRO Cash & Carry,Berlin,Nonnendammallee 135  13601 Berlin Germany,+49 (211) 17607090,+49 (211) 17607099,"52,5394 13,2445"
METRO Cash & Carry,Porta Westfalica,Ellernstr. 18  32457 Porta Westfalica Germany,+49 (211) 17607090,+49 (211) 17607099,"52,212184 8,878285"
METRO Cash & Carry,Schönefeld,Grünauer Strasse 5  12529 Schönefeld Germany,+49 (211) 17607090,+49 (211) 17607099,"52,375687 13,563624"
METRO Cash & Carry,Magdeburg,Werner-von-Siemens-Ring 9  39116 Magdeburg Germany,+49 (211) 17607090,+49 (211) 17607099,"52,078385 11,577215"
METRO Cash & Carry,Erfurt,Linderbacher Weg 32  99099 Erfurt Germany,+49 (211) 17607090,+49 (211) 17607099,"50,974256 11,088169"
METRO Cash & Carry,Leipzig,Geithainer Straße 60  04328 Leipzig Germany,+49 (211) 17607090,+49 (211) 17607099,"51,3421 12,4442"
METRO Cash & Carry,Röhrsdorf,Röhrsdorfer Allee 1  09247 Röhrsdorf Germany,+49 (211) 17607090,+49 (211) 17607099,"50,86438 12,860084"
METRO Cash & Carry,Siegen,Eiserfelder Straße 176  57072 Siegen Germany,+49 (211) 17607090,+49 (211) 17607099,"50,856425 8,00942"
METRO Cash & Carry,Neu-Ulm,Borsigstraße 8  89231 Neu-Ulm Germany,+49 (211) 17607090,+49 (211) 17607099,"48,393 10,0193"
METRO Cash & Carry,Augsburg,Dr.-Dürrwanger-Str. 60  86156 Augsburg Germany,+49 (211) 17607090,+49 (211) 17607099,"48,3842 10,8568"
METRO Cash & Carry,Wolgast,Leeranerstr. 4  17438 Wolgast Germany,+49 (3836) 27090,+49 (3836) 270920,"54,046257 13,752717"
METRO Cash & Carry,Greifswald,Am Gorzberg  17489 Greifswald Germany,+49 (3834) 59520,+49 (3834) 595220,"54,073507 13,405309"
METRO Cash & Carry,Kritzow,Karpendiek  2  23970 Kritzow Germany,+49 (3841) 24210,+49 (3841) 242120,"53,889536 11,532613"
METRO Cash & Carry,Mühlhausen,Beim Schwarzenfeld  14  99974 Mühlhausen Germany,+49 (3601) 46430,+49 (3601) 464320,"51,197114 10,477959"
METRO Cash & Carry,Rudolstadt,Oststr.  53  07407 Rudolstadt Germany,+49 (3672) 43300,+49 (3672) 433020,"50,724077 11,360786"
METRO Cash & Carry,Eisenach,Eichrodter Weg 112  99817 Eisenach Germany,+49 (3691) 79100,+49 (3691) 791020,"50,979043 10,294327"
METRO Cash & Carry,Bautzen,Dresdener Str. 57  02625 Bautzen Germany,+49 (3591) 67950,+49 (3591) 310920,"51,179469 14,398617"
METRO Cash & Carry,Hof,An der Hohensaas 12  95030 Hof Germany,+49 (9281) 70760,+49 (9281) 707620,"50,314416 11,877963"
METRO Cash & Carry,Langen,Drangstedter Straße  101  27607 Langen Germany,+49 (4743) 93990,+49 (4743) 939950,"53,62122 8,656836"
METRO Cash & Carry,Uelzen,Im Neuen Felde  42  29525 Uelzen Germany,+49 (581) 90260,+49 (581) 902626,"52,981904 10,562813"
METRO Cash & Carry,Albstadt,Sigmariner Str.  106  72458 Albstadt Germany,+49 (7431) 13080,+49 (7431) 130820,"48,204864 9,042714"
METRO Cash & Carry,Salach,Im Alber  7  73084 Salach Germany,+49 (7162) 930230,+49 (7162) 9302320,"48,685395 9,727952"
METRO Cash & Carry,Satteldorf,Industriestr.  14  74589 Satteldorf Germany,+49 (7951) 94630,+49 (7951) 946320,"49,181411 10,073986"
METRO Cash & Carry,Karlsruhe,Weinweg 43  76137 Karlsruhe Germany,+49 (721) 962270,+49 (721) 9622733,"49,009704 8,447989"
METRO Cash & Carry,Baden-Baden,Lärchenstr.  4  76532 Baden-Baden Germany,+49 (7221) 50620,+49 (7221) 506220,"48,815532 8,196033"
METRO Cash & Carry,Bruchsal,Im Wendelrot  11  76646 Bruchsal Germany,+49 (7251) 97810,+49 (7251) 84629,"49,138407 8,566927"
METRO Cash & Carry,Wangen,Simoniusstr.  7  88239 Wangen Germany,+49 (7522) 79530,+49 (7522) 795320,"47,679852 9,844916"
METRO Cash & Carry,Ravensburg,Bleichstraße 51  88212 Ravensburg Germany,+49 (751) 769640,+49 (751) 7696420,"47,794296 9,61252"
METRO Cash & Carry,Kiel,Tonberg 7  24113 Kiel Germany,+49 (431) 2395190,+49 (431) 239519119,"54,301546 10,133093"
METRO Cash & Carry,Böblingen,Herrenbergerstr. 100  71034 Böblingen Germany,+49 (7031) 441000,+49 (7031) 441300,"48,680778 8,994457"
METRO Cash & Carry,Gomaringen,Ohmenhäuser Str. 15  72810 Gomaringen Germany,+49 (7072) 1360,+49 (7072) 136943,"48,460218 9,103766"
METRO Cash & Carry,Aachen,Am Gut Wolf  52070 Aachen Germany,+49 (241) 918120,+49 (241) 9181220,"50,78927 6,101632"
METRO Cash & Carry,Hannover,Eckenerstraße 2A  30179 Hannover Germany,+49 (511) 6799860,+49 (511) 67998619,"52,417279 9,744062"
METRO Cash & Carry,Stendal,Opelstraße 4  39576 Stendal Germany,+49 (3931) 68470,+49 (3931) 684719,"52,577796 11,871973"
METRO Cash & Carry,Lingen,Handelsstraße 6  49809 Lingen Germany,+49 (591) 710920,+49 (591) 7109210,"52,53832 7,33503"
METRO Cash & Carry,Perleberg,Ackerstraße  19348 Perleberg Germany,+49 (3876) 300430,+49 (3876) 616887,"53,08614 11,857018"
METRO Cash & Carry,Neustrelitz,Gewerbepark Ost  17235 Neustrelitz Germany,+49 (3981) 28690,+49 (3981) 286933,"53,365941 13,08962"
METRO Cash & Carry,Prenzlau,Gewerbestasse 2  17291 Prenzlau Germany,+49 (3984) 86480,+49 (3984) 864819,"53,337774 13,869694"
METRO Cash & Carry,Düren,Aachener Straße 15-17  52353 Düren Germany,+49 (2421) 503222,+49 (2421) 503023,"50,84093 6,454927"
METRO Cash & Carry,Waren,Warendorfer Str.  17192 Waren Germany,+49 (3991) 18320,+49 (3991) 183233,"53,525433 12,646195"
METRO Cash & Carry,Braunschweig,Varrentrappstr. 50  38114 Braunschweig Germany,+49 (531) 256830,+49 (531) 54855,"52,27814 10,508303"
METRO Cash & Carry,Celle,Bremer Weg 203  29223 Celle Germany,+49 (5141) 956070,+49 (5141) 9560719,"52,637013 10,050441"
METRO Cash & Carry,Goslar,Gerhard Weule Str. 1  38644 Goslar Germany,+49 (5321) 37540,+49 (5321) 375419,"51,934497 10,407307"
METRO Cash & Carry,Holzminden,Zeppelinstr. 14  37603 Holzminden Germany,+49 (5531) 12820,+49 (5531) 128219,"51,841469 9,471938"
METRO Cash & Carry,Nienburg,Südring 15  31582 Nienburg Germany,+49 (5021) 60130,+49 (5021) 601319,"52,619102 9,207659"
METRO Cash & Carry,Hameln,Langes Feld 14  31789 Hameln Germany,+49 (5151) 557330,+49 (5151) 5573343,"52,098343 9,396205"
METRO Cash & Carry,Wolfsburg,Krugfeld 16  38448 Wolfsburg Germany,+49 (5361) 61007,+49 (5361) 61135,"52,458556 10,749531"
METRO Cash & Carry,Krefeld,Oppumer Straße 53-63  47799 Krefeld Germany,+49 (2151) 1520610,+49 (2151) 803418,"51,331403 6,581795"
METRO Cash & Carry,Iserlohn,Zur Helle 1  58638 Iserlohn Germany,+49 (2374) 50810,+49 (2374) 508119,"51,377554 7,661542"
